2007-323T12:42:18 4.477e+02 9.715e+01 2 2.081e+01 2.907e+01 1
2007-323T12:42:25 3.152e+02 1.609e+02 2 2.330e+01 -1.080e+00 1
2007-323T12:42:33 3.440e+02 1.992e+02 2 nan nan 0
2007-323T12:42:40 2.055e+02 1.514e+02 2 2.330e+01 2.330e+01 1
2007-323T12:42:48 2.096e+02 3.259e+01 2 2.199e+01 -9.620e-01 1
2007-323T12:42:55 4.540e+02 1.648e+02 2 nan nan 0
2007-323T12:43:03 6.113e+02 2.927e+02 2 nan nan 0
2007-323T12:43:11 5.469e+02 2.629e+01 2 1.976e+01 1.976e+01 1
2007-323T12:43:18 3.271e+02 1.983e+02 2 1.976e+01 1.976e+01 1
2007-323T12:43:26 3.584e+02 6.019e+01 2 2.081e+01 5.788e+00 1
2007-323T12:43:33 3.186e+02 4.077e+01 2 1.976e+01 1.976e+01 1
2007-323T12:43:41 3.584e+02 3.784e+01 2 nan nan 0
2007-323T12:43:48 5.399e+02 3.232e+02 2 9.355e+00 9.355e+00 1
2007-323T12:43:56 6.002e+02 7.390e+01 2 3.762e+01 9.455e+00 1
2007-323T12:44:03 6.519e+02 4.473e+01 2 3.762e+01 -5.030e+00 1
2007-323T12:44:11 6.002e+02 5.795e+01 2 1.881e+01 1.881e+01 1
2007-323T12:44:18 5.469e+02 2.204e+02 2 1.795e+01 1.667e+01 1
2007-323T12:44:26 4.880e+02 3.952e+01 2 1.795e+01 1.795e+01 1
2007-323T12:44:34 5.972e+02 8.448e+01 2 1.716e+01 1.716e+01 1
2007-323T12:44:41 6.267e+02 1.505e+02 2 1.716e+01 1.716e+01 1
2007-323T12:44:49 6.007e+02 4.314e+01 2 1.716e+01 1.716e+01 1
2007-323T12:44:56 7.327e+02 9.069e+01 2 1.644e+01 1.644e+01 1
2007-323T12:45:04 7.143e+02 1.195e+02 2 1.716e+01 -5.860e-01 1
2007-323T12:45:11 3.317e+02 2.605e+02 2 1.881e+01 1.881e+01 1
2007-323T12:45:19 5.469e+02 4.656e+01 2 nan nan 0
2007-323T12:45:26 2.965e+02 1.987e+02 2 nan nan 0
2007-323T12:45:34 3.175e+02 8.337e+01 2 1.795e+01 1.795e+01 1
2007-323T12:45:49 3.436e+02 2.109e+02 2 1.577e+01 1.577e+01 1
2007-323T12:45:56 2.065e+02 1.339e+02 2 nan nan 0
2007-323T12:46:04 2.424e+01 9.165e+00 0 nan nan 0
2007-323T12:46:12 2.587e+01 9.782e+00 0 6.765e+01 6.231e+02 1
2007-323T12:46:19 2.583e+01 9.767e+00 0 nan nan 0
2007-323T12:46:27 2.615e+01 9.889e+00 0 nan nan 0
2007-323T12:46:34 2.506e+01 9.475e+00 0 9.585e+00 9.585e+00 1
2007-323T12:46:42 2.524e+01 9.545e+00 0 1.035e+01 1.035e+01 1
2007-323T12:46:49 2.526e+01 9.553e+00 0 6.765e+01 4.241e+02 1
2007-323T12:46:57 0.000e+00 nan 0 nan nan 0
2007-323T12:47:04 2.466e+01 9.325e+00 0 nan nan 0
2007-323T12:47:12 6.097e+02 7.336e+02 2 nan nan 0
2007-323T12:47:19 1.157e+03 4.409e+02 2 1.407e+01 1.407e+01 1
2007-323T12:47:27 1.021e+03 1.778e+02 2 nan nan 0
2007-323T12:47:35 1.535e+03 5.718e+01 2 5.853e+00 5.853e+00 1
2007-323T12:47:42 9.052e+02 5.291e+02 2 nan nan 0
2007-323T12:47:50 6.560e+02 2.305e+02 2 2.330e+01 -5.246e+00 1
2007-323T12:47:57 3.380e+02 1.744e+02 2 nan nan 0
2007-323T12:48:05 6.560e+02 2.412e+02 2 2.477e+01 -1.221e+00 1
2007-323T12:48:12 4.273e+02 3.081e+02 2 2.645e+01 2.645e+01 1
2007-323T12:48:20 5.732e+02 1.871e+02 2 2.837e+01 4.573e-01 1
2007-323T12:48:27 6.560e+02 5.116e+01 2 2.837e+01 2.837e+01 1
2007-323T12:48:35 7.102e+02 1.701e+02 2 2.837e+01 2.311e+01 1
2007-323T12:48:42 1.319e+03 9.379e+01 2 2.837e+01 -1.602e+00 1
2007-323T12:48:50 9.040e+02 4.593e+02 2 3.059e+01 -1.862e+00 1
2007-323T12:48:58 1.013e+03 4.018e+01 2 3.319e+01 3.319e+01 1
2007-323T12:49:05 1.417e+03 6.233e+01 2 3.319e+01 -2.192e+00 1
2007-323T12:49:13 1.434e+03 4.465e+02 2 3.626e+01 3.626e+01 1
2007-323T12:49:20 1.494e+03 1.374e+02 2 3.626e+01 3.626e+01 1
2007-323T12:49:28 1.531e+03 4.111e+02 2 3.626e+01 3.626e+01 1
2007-323T12:49:35 1.886e+03 0.000e+00 2 3.626e+01 3.626e+01 1
2007-323T12:49:43 1.900e+03 inf 2 3.626e+01 3.626e+01 1
2007-323T12:49:50 1.552e+03 8.715e+02 2 3.626e+01 3.626e+01 1
2007-323T12:49:58 1.465e+03 1.652e+02 2 3.626e+01 -2.617e+00 1
2007-323T12:50:05 1.569e+03 1.659e+02 2 nan nan 0
2007-323T12:50:13 1.794e+03 1.353e+03 2 6.637e+01 1.252e+00 1
2007-323T12:50:20 1.553e+03 8.517e+02 2 3.319e+01 3.319e+01 1
2007-323T12:50:28 1.545e+03 8.720e+02 2 3.319e+01 3.319e+01 1
2007-323T12:50:36 1.886e+03 4.836e+02 2 3.319e+01 3.319e+01 1
2007-323T12:50:43 2.085e+03 9.167e+02 2 3.059e+01 3.059e+01 1
2007-323T12:50:51 2.085e+03 9.665e+02 2 3.059e+01 3.059e+01 1
2007-323T12:50:58 2.511e+03 1.389e+03 2 2.645e+01 2.645e+01 1
2007-323T12:51:06 3.225e+03 1.616e+03 2 2.645e+01 2.645e+01 1
2007-323T12:51:13 7.073e+02 3.257e+02 2 2.330e+01 2.330e+01 1
2007-323T12:51:21 7.749e+02 1.107e+02 2 nan nan 0
2007-323T12:51:28 2.085e+03 2.130e+03 2 2.477e+01 2.477e+01 1
2007-323T12:51:36 2.085e+03 2.177e+03 2 nan nan 0
2007-323T12:51:43 1.384e+03 1.054e+00 2 8.510e+01 7.549e+00 1
2007-323T12:51:51 2.096e+02 9.608e+01 2 3.059e+01 -1.862e+00 1
2007-323T12:51:59 9.040e+02 2.847e+02 2 3.059e+01 -1.862e+00 1
2007-323T12:52:06 3.398e+02 1.590e+02 2 3.059e+01 -4.256e+00 1
2007-323T12:52:14 1.350e+03 6.524e+02 2 3.059e+01 3.059e+01 1
2007-323T12:52:21 2.254e+03 1.023e+03 2 8.510e+01 -1.098e+01 1
2007-323T12:52:29 2.085e+03 1.881e+02 2 3.059e+01 3.059e+01 1
2007-323T12:52:36 1.430e+03 5.458e+02 2 3.059e+01 3.059e+01 1
2007-323T12:52:44 9.040e+02 6.696e+01 2 3.059e+01 3.059e+01 1
2007-323T12:52:51 7.143e+02 1.235e+02 2 2.837e+01 -3.661e+00 1
2007-323T12:52:59 3.584e+02 5.622e+01 2 3.059e+01 5.317e-01 1
2007-323T12:53:06 3.604e+02 2.681e+02 2 2.837e+01 -3.661e+00 1
2007-323T12:53:14 2.096e+02 4.836e+01 2 3.059e+01 5.317e-01 1
2007-323T12:53:22 2.994e+02 2.028e+02 2 2.837e+01 -3.661e+00 1
2007-323T12:53:29 3.584e+02 6.926e+01 2 2.837e+01 5.193e+01 1
2007-323T12:53:37 3.584e+02 3.066e+01 2 2.837e+01 -1.602e+00 1
2007-323T12:53:44 5.469e+02 2.139e+01 2 2.837e+01 5.399e+01 1
2007-323T12:53:52 1.350e+03 2.077e+02 2 nan nan 0
2007-323T12:53:59 9.735e+02 7.379e+01 2 2.477e+01 2.477e+01 1
2007-323T12:54:07 6.948e+02 3.538e+01 2 2.645e+01 2.645e+01 1
2007-323T12:54:14 6.560e+02 3.160e+02 2 2.645e+01 2.645e+01 1
2007-323T12:54:22 5.469e+02 4.861e+01 2 2.645e+01 2.645e+01 1
2007-323T12:54:29 3.681e+02 1.201e+02 2 2.645e+01 -4.972e+00 1
2007-323T12:54:37 3.584e+02 3.025e+01 2 2.645e+01 2.645e+01 1
2007-323T12:54:45 5.260e+02 1.810e+01 2 2.477e+01 -1.221e+00 1
2007-323T12:54:52 3.769e+02 1.389e+02 2 2.477e+01 -1.221e+00 1
2007-323T12:55:00 3.584e+02 1.006e+02 2 2.645e+01 -1.392e+00 1
2007-323T12:55:07 3.540e+02 8.186e+01 2 2.837e+01 4.573e-01 1
2007-323T12:55:15 3.584e+02 7.870e+01 2 2.645e+01 -3.182e+00 1
2007-323T12:55:22 2.790e+02 2.058e+01 2 2.814e+01 2.250e-01 1
2007-323T12:55:30 2.790e+02 3.443e+01 2 2.645e+01 -3.182e+00 1
2007-323T12:55:37 2.636e+02 1.039e+02 2 2.645e+01 -1.392e+00 1
2007-323T12:55:45 3.340e+02 3.882e+01 2 2.645e+01 -1.392e+00 1
2007-323T12:55:52 4.477e+02 7.312e+01 2 1.313e+01 1.313e+01 1
2007-323T12:56:00 3.426e+02 1.232e+02 2 2.477e+01 -2.791e+00 1
2007-323T12:56:07 3.954e+02 5.299e+01 2 2.477e+01 3.332e+01 1
2007-323T12:56:15 2.096e+02 1.132e+02 2 2.477e+01 2.233e+01 1
2007-323T12:56:23 6.217e+01 2.351e+01 1 6.650e+00 6.650e+00 1
2007-323T12:56:30 1.786e+02 9.377e+01 2 nan nan 0
2007-323T12:56:38 3.661e+01 1.385e+01 1 nan nan 0
2007-323T12:56:45 5.872e+01 2.221e+01 1 nan nan 0
2007-323T12:56:53 1.242e+02 4.697e+01 1 nan nan 0
2007-323T12:57:00 6.002e+02 1.050e+02 2 2.081e+01 2.081e+01 1
